[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-wealth,total-wealth,avg-diff
1,10,10,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
2,10,20,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
3,10,30,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
4,10,40,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
5,10,50,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
6,10,60,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
7,10,70,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
8,10,80,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
9,10,90,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
10,10,100,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
11,10,110,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
12,10,120,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
13,10,130,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
14,10,140,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
15,10,150,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
16,10,160,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
17,10,170,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
18,10,180,no-visualization,dynamic-collection,uniform,400,0,0.0326745330709976,0,180.06054,72198,15.02543
19,10,190,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
20,10,200,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
21,20,10,no-visualization,dynamic-collection,uniform,400,1500,0.148895051317663,2114,17.2538,6453,0.67059
22,20,20,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
23,20,30,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
24,20,40,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
25,20,50,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
26,20,60,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
27,20,70,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
28,20,80,no-visualization,dynamic-collection,uniform,400,0,0,0,0,0,0
